#
#"Frequency / MHz"	"S1,1 [Magnitude]"
#------------------------------------
500.00000000000	-0.11756230093969
504.50000000000	-0.16180773057677
509.00000000000	-0.17011328511311
513.50000000000	-0.14283485199858
518.00000000000	-0.095258879488544
522.50000000000	-0.047513545897300
527.00000000000	-0.014281492374903
531.50000000000	6.3248058391312e-07
536.00000000000	-0.00034411281194387
540.50000000000	-0.0073189194659479
545.00000000000	-0.014332105955764
549.50000000000	-0.018559601676334
554.00000000000	-0.020169380308367
558.50000000000	-0.020106409050595
563.00000000000	-0.018680307936707
567.50000000000	-0.015821027392905
572.00000000000	-0.012185103613845
576.50000000000	-0.0095835362669794
581.00000000000	-0.0099932423331524
585.50000000000	-0.013845803588016
590.00000000000	-0.019159586978847
594.50000000000	-0.022480644900795
599.00000000000	-0.021256522035189
603.50000000000	-0.015897655053943
608.00000000000	-0.0098362562472186
612.50000000000	-0.0073081399768886
617.00000000000	-0.010344093726464
621.50000000000	-0.017154713749259
626.00000000000	-0.023154167489938
630.50000000000	-0.024089589332075
635.00000000000	-0.019126608232017
639.50000000000	-0.011599139207030
644.00000000000	-0.0067718600377721
648.50000000000	-0.0081500802026664
653.00000000000	-0.014961430530878
657.50000000000	-0.022573192999278
662.00000000000	-0.025660542047776
666.50000000000	-0.021983979169942
671.00000000000	-0.014069344662590
675.50000000000	-0.0074772436281762
680.00000000000	-0.0069154650139976
684.50000000000	-0.012911718537775
689.00000000000	-0.021386641510958
693.50000000000	-0.026442946150773
698.00000000000	-0.024511843207041
702.50000000000	-0.016944821715897
707.00000000000	-0.0090953583193029
711.50000000000	-0.0065488160384414
716.00000000000	-0.011212261374397
720.50000000000	-0.019943923524495
725.00000000000	-0.026697345151228
729.50000000000	-0.026752552766850
734.00000000000	-0.020098905158664
738.50000000000	-0.011481048242840
743.00000000000	-0.0070494450802014
747.50000000000	-0.010041232477954
752.00000000000	-0.018508895955675
756.50000000000	-0.026633152692070
761.00000000000	-0.028774610087267
765.50000000000	-0.023489780500573
770.00000000000	-0.014593478392870
774.50000000000	-0.0084701926525114
779.00000000000	-0.0095762513455784
